Name New_Price Preowned_Price Download_Price Other_Price Console Genre
"AI: The Somnium Files" 49.99 0.0 0.0 0.0 Switch Action/Adventure
"Days Gone" 49.99 32.99 32.99 35.0 "PlayStation 4" Action/Adventure
"LEGO City Undercover" 19.99 19.99 19.99 18.55 "PlayStation 4" Action/Adventure
"Knack 2" 0.0 19.99 19.99 16.89 "PlayStation 4" Action/Adventure
"Genesis Alpha One" 15.22 0.0 0.0 33.88 "Xbox One" Action/Adventure
"Fate Extella: The Umbral Star" 40.19 0.0 0.0 29.75 "PlayStation 4" Action/Adventure
"Lego Star Wars 3: The Clone Wars Classics" 0.0 13.46 13.46 0.0 "Xbox 360" Action/Adventure
"Pokemon X" 42.71 39.99 39.99 19.47 2DS/3DS Action/Adventure
"Bayonetta 2 + Bayonetta" 48.51 0.0 0.0 0.0 Switch Action/Adventure
"The Pillars of the Earth" 5.99 0.0 0.0 9.34 "PlayStation 4" Action/Adventure
"LEGO Marvel Super Heroes 2" 19.99 19.99 19.99 14.38 "PlayStation 4" Action/Adventure
"A Plague Tale: Innocence" 39.99 0.0 0.0 0.0 "PlayStation 4" Action/Adventure
"Assassin's Creed 3 Remastered" 23.59 0.0 0.0 47.88 "Xbox One" Action/Adventure
"Borderlands: The Handsome Collection" 14.99 12.99 12.99 5.0 "PlayStation 4" Action/Adventure
"Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition" 46.5 0.0 0.0 0.0 Switch Action/Adventure
"Minecraft - Xbox One Edition" 0.0 22.99 22.99 29.99 "Xbox One" Action/Adventure
"PlayStation Hits - InFamous Second Son" 12.95 0.0 0.0 21.99 "PlayStation 4" Action/Adventure
"Kirby Star Allies" 46.97 0.0 0.0 63.85 Switch Action/Adventure
"Steven Universe: Save the Light & OK K.O.! Let's Play Heroes" 17.99 0.0 0.0 0.0 "Xbox One" Action/Adventure
"Minecraft: Xbox 360 Edition" 23.85 0.0 0.0 21.75 "Xbox 360" Action/Adventure
"Ghostbusters The Video Game Remastered" 24.99 0.0 0.0 27.45 "Xbox One" Action/Adventure
"Kill La Kill IF Collector's Edition - UK Retail GAME Exclusive" 39.99 0.0 0.0 0.0 Switch Action/Adventure
"No Man's Sky" 0.0 19.99 19.99 39.95 "PlayStation 4" Action/Adventure
Valfaris 29.99 0.0 0.0 27.99 Switch Action/Adventure
"The Order: 1886" 10.94 0.0 0.0 9.99 "PlayStation 4" Action/Adventure
"Uncharted: The Lost Legacy PS Hits" 15.99 0.0 0.0 12.1 "PlayStation 4" Action/Adventure
"Trover Saves the Universe" 19.99 0.0 0.0 29.99 "PlayStation 4" Action/Adventure
"Sleeping Dogs Limited Edition PS4" 16.99 0.0 0.0 24.93 "PlayStation 4" Action/Adventure
"Mafia II" 0.0 10.55 10.55 0.0 "Xbox 360" Action/Adventure
"Fate/EXTELLA LINK" 14.99 0.0 0.0 26.45 "PlayStation 4" Action/Adventure
"Pokémon Ultra Moon" 32.29 0.0 0.0 30.75 2DS/3DS Action/Adventure
"LEGO Harry Potter: Years 1 - 4" 0.0 5.62 5.62 0.0 Wii Action/Adventure
"The Walking Dead Telltale Collection" 17.99 12.99 12.99 21.56 "Xbox One" Action/Adventure
"Pokemon Super Mystery Dungeon" 36.49 34.99 34.99 32.55 2DS/3DS Action/Adventure
"LEGO City Undercover" 32.99 0.0 0.0 23.98 Switch Action/Adventure
"Heavy Rain & Beyond Two Souls Collection" 10.78 0.0 0.0 18.05 "PlayStation 4" Action/Adventure
"Grand Theft Auto V" 0.0 0.99 0.99 4.0 "PlayStation 3" Action/Adventure
PixARK 19.99 0.0 0.0 26.95 Switch Action/Adventure
"Dishonored: Definitive Edition" 30.0 0.0 0.0 15.85 "PlayStation 4" Action/Adventure
"Just Cause 4" 29.99 19.99 19.99 13.28 "PlayStation 4" Action/Adventure
"LEGO Jurassic World" 19.99 19.99 19.99 12.1 "PlayStation 4" Action/Adventure
"Tomb Raider Definitive Edition" 0.0 12.99 12.99 14.29 "PlayStation 4" Action/Adventure
"The Walking Dead: The Final Season" 14.99 0.0 0.0 29.89 "Xbox One" Action/Adventure
"Rise of the Tomb Raider: 20 Year Celebration" 17.82 0.0 0.0 12.34 "PlayStation 4" Action/Adventure
"Skylanders Spyro's Adventure- Solus" 0.0 20.21 20.21 0.0 Wii Action/Adventure
"Persona Q: Shadow of The Labyrinth" 39.78 0.0 0.0 67.88 2DS/3DS Action/Adventure
"Super Lucky's Tale" 29.95 0.0 0.0 16.85 "Xbox One" Action/Adventure
"Pokémon Ultra Moon Download" 0.0 39.99 39.99 0.0 2DS/3DS Action/Adventure
"Sonic Mania Plus" 19.99 0.0 0.0 32.88 "Xbox One" Action/Adventure
"Ice Age: Scrat's Nutty Adventure" 22.99 0.0 0.0 33.99 "PlayStation 4" Action/Adventure
"Kill La Kill IF Collector's Edition - UK Retail GAME Exclusive" 39.99 0.0 0.0 0.0 "PlayStation 4" Action/Adventure
"Bully: Scholarship Edition" 14.75 0.0 0.0 14.6 "Xbox 360" Action/Adventure
"Crackdown 3" 24.99 12.99 12.99 9.99 "Xbox One" Action/Adventure
"LEGO Batman 3: Beyond Gotham" 19.99 19.99 19.99 13.98 "PlayStation 4" Action/Adventure
"Dragonball Z Kakarot Season Pass" 0.0 19.99 19.99 0.0 "Xbox One" Action/Adventure
"Adventure Time: Pirates of the Enchiridion" 18.06 0.0 0.0 26.75 Switch Action/Adventure
"Far Cry New Dawn Superbloom Edition - UK Retail Exclusive" 0.0 19.99 19.99 0.0 "Xbox One" Action/Adventure
"Toy Story 3" 0.0 16.99 16.99 0.0 "Xbox 360" Action/Adventure
"Left Alive" 9.99 0.0 0.0 9.91 "PlayStation 4" Action/Adventure
